2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,573 - INFO - SUPABASE形式変換: 2025/05/13 09:00 → 2025-05-13T09:00:00+09:00
2025-07-05 22:22:21,573 - INFO - SUPABASE形式変換: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 開始日時: 2025/05/13 09:00 → 2025-05-13T09:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 終了日時: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,574 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-13T09:00:00+09:00', '2025-05-13T12:00:00+09:00', '×']
2025-07-05 22:22:21,574 - INFO - SUPABASE形式変換: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,574 - INFO - SUPABASE形式変換: 2025/05/13 17:00 → 2025-05-13T17:00:00+09:00
2025-07-05 22:22:21,574 - INFO - 開始日時: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,574 - INFO - 終了日時: 2025/05/13 17:00 → 2025-05-13T17:00:00+09:00
2025-07-05 22:22:21,574 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-13T12:00:00+09:00', '2025-05-13T17:00:00+09:00', '×']
2025-07-05 22:22:21,574 - INFO - SUPABASE形式変換: 2025/05/14 08:00 → 2025-05-14T08:00:00+09:00
2025-07-05 22:22:21,574 - INFO - SUPABASE形式変換: 2025/05/14 13:30 → 2025-05-14T13:30:00+09:00
2025-07-05 22:22:21,574 - INFO - 開始日時: 2025/05/14 08:00 → 2025-05-14T08:00:00+09:00
2025-07-05 22:22:21,574 - INFO - 終了日時: 2025/05/14 13:30 → 2025-05-14T13:30:00+09:00
2025-07-05 22:22:21,574 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-14T08:00:00+09:00', '2025-05-14T13:30:00+09:00', '×']
2025-07-05 22:22:21,574 - INFO - SUPABASE形式変換: 2025/05/14 13:30 → 2025-05-14T13:30:00+09:00
2025-07-05 22:22:21,575 - INFO - SUPABASE形式変換: 2025/05/14 15:30 → 2025-05-14T15:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 開始日時: 2025/05/14 13:30 → 2025-05-14T13:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 終了日時: 2025/05/14 15:30 → 2025-05-14T15:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-14T13:30:00+09:00', '2025-05-14T15:30:00+09:00', '×']
2025-07-05 22:22:21,575 - INFO - SUPABASE形式変換: 2025/05/14 15:30 → 2025-05-14T15:30:00+09:00
2025-07-05 22:22:21,575 - INFO - SUPABASE形式変換: 2025/05/14 17:30 → 2025-05-14T17:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 開始日時: 2025/05/14 15:30 → 2025-05-14T15:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 終了日時: 2025/05/14 17:30 → 2025-05-14T17:30:00+09:00
2025-07-05 22:22:21,575 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-14T15:30:00+09:00', '2025-05-14T17:30:00+09:00', '×']
2025-07-05 22:22:21,575 - INFO - 会議室名検出: '１００２会議室（仙台合同庁舎１０階西／仙台地方振興事務所）'
